tagIndex,tagName
1,매실
2,유자
3,귤
4,과일
5,오미자
6,포도
7,머루
8,레몬
9,자두
10,멜론
11,오렌지
12,참외
13,딸기
14,복분자
15,오디
16,누룩향
17,솔향
18,밤
19,꿀향
20,땅콩
21,옥수수
22,감자
23,꽃향
24,매화
25,인삼
26,송이향
27,요구르트
28,오크향
29,with 토닉워터
30,with 고기
31,with 해산물
32,온더락
33,하이볼
34,반주
35,낮술
36,축하주
37,식전주
38,홈술
39,혼술
40,여름
41,가을
42,겨울
43,선물
44,가정용
45,파티용
46,명절
47,연말
48,특별한 날
49,생일
50,여행
51,프리미엄
52,대통령상
53,가성비
54,수제
55,패키징
56,재구매
57,달달함
58,부드러움
59,진함
60,순함
61,가벼움
62,묵직함
63,맑음
64,청량
65,상큼
66,깔끔
67,시원
68,은은
69,고소함
70,숙성
71,드라이
72,산미
